Ship type,Ship duration type,Ship level,Target artifact,AURELIAN_BROOCH,AURELIAN_BROOCH,AURELIAN_BROOCH,AURELIAN_BROOCH,AURELIAN_BROOCH,AURELIAN_BROOCH,AURELIAN_BROOCH,AURELIAN_BROOCH,AURELIAN_BROOCH,BEAK_OF_MIDAS,BEAK_OF_MIDAS,BEAK_OF_MIDAS,BEAK_OF_MIDAS,BEAK_OF_MIDAS,BEAK_OF_MIDAS,BEAK_OF_MIDAS,BOOK_OF_BASAN,BOOK_OF_BASAN,BOOK_OF_BASAN,BOOK_OF_BASAN,BOOK_OF_BASAN,BOOK_OF_BASAN,BOOK_OF_BASAN,CARVED_RAINSTICK,CARVED_RAINSTICK,CARVED_RAINSTICK,CARVED_RAINSTICK,CARVED_RAINSTICK,CARVED_RAINSTICK,CLARITY_STONE,CLARITY_STONE,CLARITY_STONE,CLARITY_STONE_FRAGMENT,DEMETERS_NECKLACE,DEMETERS_NECKLACE,DEMETERS_NECKLACE,DEMETERS_NECKLACE,DEMETERS_NECKLACE,DEMETERS_NECKLACE,DEMETERS_NECKLACE,DEMETERS_NECKLACE,DEMETERS_NECKLACE,DEMETERS_NECKLACE,DILITHIUM_MONOCLE,DILITHIUM_MONOCLE,DILITHIUM_MONOCLE,DILITHIUM_MONOCLE,DILITHIUM_MONOCLE,DILITHIUM_MONOCLE,DILITHIUM_STONE,DILITHIUM_STONE,DILITHIUM_STONE,DILITHIUM_STONE_FRAGMENT,GOLD_METEORITE,GOLD_METEORITE,GOLD_METEORITE,INTERSTELLAR_COMPASS,INTERSTELLAR_COMPASS,INTERSTELLAR_COMPASS,INTERSTELLAR_COMPASS,INTERSTELLAR_COMPASS,INTERSTELLAR_COMPASS,INTERSTELLAR_COMPASS,INTERSTELLAR_COMPASS,LIFE_STONE,LIFE_STONE,LIFE_STONE,LIFE_STONE_FRAGMENT,LIGHT_OF_EGGENDIL,LIGHT_OF_EGGENDIL,LIGHT_OF_EGGENDIL,LIGHT_OF_EGGENDIL,LIGHT_OF_EGGENDIL,LIGHT_OF_EGGENDIL,LIGHT_OF_EGGENDIL,LIGHT_OF_EGGENDIL,LUNAR_STONE,LUNAR_STONE,LUNAR_STONE,LUNAR_STONE_FRAGMENT,LUNAR_TOTEM,LUNAR_TOTEM,LUNAR_TOTEM,LUNAR_TOTEM,LUNAR_TOTEM,LUNAR_TOTEM,LUNAR_TOTEM,LUNAR_TOTEM,LUNAR_TOTEM,MERCURYS_LENS,MERCURYS_LENS,MERCURYS_LENS,MERCURYS_LENS,MERCURYS_LENS,MERCURYS_LENS,MERCURYS_LENS,MERCURYS_LENS,MERCURYS_LENS,NEODYMIUM_MEDALLION,NEODYMIUM_MEDALLION,NEODYMIUM_MEDALLION,NEODYMIUM_MEDALLION,NEODYMIUM_MEDALLION,NEODYMIUM_MEDALLION,NEODYMIUM_MEDALLION,NEODYMIUM_MEDALLION,NEODYMIUM_MEDALLION,ORNATE_GUSSET,ORNATE_GUSSET,ORNATE_GUSSET,ORNATE_GUSSET,ORNATE_GUSSET,ORNATE_GUSSET,ORNATE_GUSSET,ORNATE_GUSSET,PHOENIX_FEATHER,PHOENIX_FEATHER,PHOENIX_FEATHER,PHOENIX_FEATHER,PHOENIX_FEATHER,PHOENIX_FEATHER,PHOENIX_FEATHER,PROPHECY_STONE,PROPHECY_STONE,PROPHECY_STONE,PROPHECY_STONE_FRAGMENT,PUZZLE_CUBE,PUZZLE_CUBE,PUZZLE_CUBE,PUZZLE_CUBE,PUZZLE_CUBE,PUZZLE_CUBE,PUZZLE_CUBE,PUZZLE_CUBE,PUZZLE_CUBE,QUANTUM_METRONOME,QUANTUM_METRONOME,QUANTUM_METRONOME,QUANTUM_METRONOME,QUANTUM_METRONOME,QUANTUM_METRONOME,QUANTUM_METRONOME,QUANTUM_METRONOME,QUANTUM_METRONOME,QUANTUM_METRONOME,QUANTUM_STONE,QUANTUM_STONE,QUANTUM_STONE,QUANTUM_STONE_FRAGMENT,SHELL_STONE,SHELL_STONE,SHELL_STONE,SHELL_STONE_FRAGMENT,SHIP_IN_A_BOTTLE,SHIP_IN_A_BOTTLE,SHIP_IN_A_BOTTLE,SHIP_IN_A_BOTTLE,SHIP_IN_A_BOTTLE,SHIP_IN_A_BOTTLE,SHIP_IN_A_BOTTLE,SHIP_IN_A_BOTTLE,SOLAR_TITANIUM,SOLAR_TITANIUM,SOLAR_TITANIUM,SOUL_STONE,SOUL_STONE,SOUL_STONE,SOUL_STONE_FRAGMENT,TACHYON_DEFLECTOR,TACHYON_DEFLECTOR,TACHYON_DEFLECTOR,TACHYON_DEFLECTOR,TACHYON_DEFLECTOR,TACHYON_DEFLECTOR,TACHYON_DEFLECTOR,TACHYON_DEFLECTOR,TACHYON_STONE,TACHYON_STONE,TACHYON_STONE,TACHYON_STONE_FRAGMENT,TAU_CETI_GEODE,TAU_CETI_GEODE,TAU_CETI_GEODE,TERRA_STONE,TERRA_STONE,TERRA_STONE,TERRA_STONE_FRAGMENT,THE_CHALICE,THE_CHALICE,THE_CHALICE,THE_CHALICE,THE_CHALICE,THE_CHALICE,THE_CHALICE,THE_CHALICE,THE_CHALICE,TITANIUM_ACTUATOR,TITANIUM_ACTUATOR,TITANIUM_ACTUATOR,TITANIUM_ACTUATOR,TITANIUM_ACTUATOR,TITANIUM_ACTUATOR,TITANIUM_ACTUATOR,TUNGSTEN_ANKH,TUNGSTEN_ANKH,TUNGSTEN_ANKH,TUNGSTEN_ANKH,TUNGSTEN_ANKH,TUNGSTEN_ANKH,TUNGSTEN_ANKH,TUNGSTEN_ANKH,TUNGSTEN_ANKH,VIAL_MARTIAN_DUST,VIAL_MARTIAN_DUST,VIAL_MARTIAN_DUST,VIAL_MARTIAN_DUST,VIAL_MARTIAN_DUST,VIAL_MARTIAN_DUST,VIAL_MARTIAN_DUST,VIAL_MARTIAN_DUST
,,,,0,1,2,2,2,3,3,3,3,0,1,2,2,3,3,3,0,1,2,2,3,3,3,0,1,2,3,3,3,0,1,2,0,0,1,1,2,2,2,3,3,3,3,0,1,2,3,3,3,0,1,2,0,0,1,2,0,1,2,2,3,3,3,3,0,1,2,0,0,1,1,2,2,3,3,3,0,1,2,0,0,1,1,2,2,3,3,3,3,0,1,1,2,2,3,3,3,3,0,1,1,2,2,3,3,3,3,0,1,1,2,2,3,3,3,0,1,2,2,3,3,3,0,1,2,0,0,1,1,2,2,3,3,3,3,0,1,1,2,2,2,3,3,3,3,0,1,2,0,0,1,2,0,0,1,2,2,3,3,3,3,0,1,2,0,1,2,0,0,1,2,2,3,3,3,3,0,1,2,0,0,1,2,0,1,2,0,0,1,1,2,2,2,3,3,3,0,1,2,2,3,3,3,0,1,1,2,2,2,3,3,3,0,1,1,2,2,3,3,3
,,,,COMMON,COMMON,COMMON,EPIC,RARE,COMMON,EPIC,LEGENDARY,RARE,COMMON,COMMON,COMMON,RARE,COMMON,LEGENDARY,RARE,COMMON,COMMON,COMMON,EPIC,COMMON,EPIC,LEGENDARY,COMMON,COMMON,COMMON,COMMON,EPIC,LEGENDARY,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,RARE,COMMON,EPIC,RARE,COMMON,EPIC,LEGENDARY,RARE,COMMON,COMMON,COMMON,COMMON,EPIC,LEGENDARY,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,RARE,COMMON,EPIC,LEGENDARY,RARE,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,RARE,COMMON,RARE,COMMON,EPIC,LEGENDARY,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,RARE,COMMON,RARE,COMMON,EPIC,LEGENDARY,RARE,COMMON,COMMON,RARE,COMMON,RARE,COMMON,EPIC,LEGENDARY,RARE,COMMON,COMMON,RARE,COMMON,EPIC,COMMON,EPIC,LEGENDARY,RARE,COMMON,COMMON,EPIC,COMMON,RARE,COMMON,EPIC,LEGENDARY,COMMON,COMMON,COMMON,RARE,COMMON,LEGENDARY,RARE,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,EPIC,COMMON,RARE,COMMON,EPIC,LEGENDARY,RARE,COMMON,COMMON,RARE,COMMON,EPIC,RARE,COMMON,EPIC,LEGENDARY,RARE,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,RARE,COMMON,EPIC,LEGENDARY,RARE,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,RARE,COMMON,EPIC,LEGENDARY,RARE,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,COMMON,EPIC,COMMON,EPIC,RARE,COMMON,EPIC,LEGENDARY,COMMON,COMMON,COMMON,RARE,COMMON,EPIC,LEGENDARY,COMMON,COMMON,RARE,COMMON,LEGENDARY,RARE,COMMON,LEGENDARY,RARE,COMMON,COMMON,RARE,COMMON,EPIC,COMMON,LEGENDARY,RARE
Ship type,Ship duration type,Ship level,Target artifact,AURELIAN_BROOCH | 0 | COMMON,AURELIAN_BROOCH | 1 | COMMON,AURELIAN_BROOCH | 2 | COMMON,AURELIAN_BROOCH | 2 | EPIC,AURELIAN_BROOCH | 2 | RARE,AURELIAN_BROOCH | 3 | COMMON,AURELIAN_BROOCH | 3 | EPIC,AURELIAN_BROOCH | 3 | LEGENDARY,AURELIAN_BROOCH | 3 | RARE,BEAK_OF_MIDAS | 0 | COMMON,BEAK_OF_MIDAS | 1 | COMMON,BEAK_OF_MIDAS | 2 | COMMON,BEAK_OF_MIDAS | 2 | RARE,BEAK_OF_MIDAS | 3 | COMMON,BEAK_OF_MIDAS | 3 | LEGENDARY,BEAK_OF_MIDAS | 3 | RARE,BOOK_OF_BASAN | 0 | COMMON,BOOK_OF_BASAN | 1 | COMMON,BOOK_OF_BASAN | 2 | COMMON,BOOK_OF_BASAN | 2 | EPIC,BOOK_OF_BASAN | 3 | COMMON,BOOK_OF_BASAN | 3 | EPIC,BOOK_OF_BASAN | 3 | LEGENDARY,CARVED_RAINSTICK | 0 | COMMON,CARVED_RAINSTICK | 1 | COMMON,CARVED_RAINSTICK | 2 | COMMON,CARVED_RAINSTICK | 3 | COMMON,CARVED_RAINSTICK | 3 | EPIC,CARVED_RAINSTICK | 3 | LEGENDARY,CLARITY_STONE | 0 | COMMON,CLARITY_STONE | 1 | COMMON,CLARITY_STONE | 2 | COMMON,CLARITY_STONE_FRAGMENT | 0 | COMMON,DEMETERS_NECKLACE | 0 | COMMON,DEMETERS_NECKLACE | 1 | COMMON,DEMETERS_NECKLACE | 1 | RARE,DEMETERS_NECKLACE | 2 | COMMON,DEMETERS_NECKLACE | 2 | EPIC,DEMETERS_NECKLACE | 2 | RARE,DEMETERS_NECKLACE | 3 | COMMON,DEMETERS_NECKLACE | 3 | EPIC,DEMETERS_NECKLACE | 3 | LEGENDARY,DEMETERS_NECKLACE | 3 | RARE,DILITHIUM_MONOCLE | 0 | COMMON,DILITHIUM_MONOCLE | 1 | COMMON,DILITHIUM_MONOCLE | 2 | COMMON,DILITHIUM_MONOCLE | 3 | COMMON,DILITHIUM_MONOCLE | 3 | EPIC,DILITHIUM_MONOCLE | 3 | LEGENDARY,DILITHIUM_STONE | 0 | COMMON,DILITHIUM_STONE | 1 | COMMON,DILITHIUM_STONE | 2 | COMMON,DILITHIUM_STONE_FRAGMENT | 0 | COMMON,GOLD_METEORITE | 0 | COMMON,GOLD_METEORITE | 1 | COMMON,GOLD_METEORITE | 2 | COMMON,INTERSTELLAR_COMPASS | 0 | COMMON,INTERSTELLAR_COMPASS | 1 | COMMON,INTERSTELLAR_COMPASS | 2 | COMMON,INTERSTELLAR_COMPASS | 2 | RARE,INTERSTELLAR_COMPASS | 3 | COMMON,INTERSTELLAR_COMPASS | 3 | EPIC,INTERSTELLAR_COMPASS | 3 | LEGENDARY,INTERSTELLAR_COMPASS | 3 | RARE,LIFE_STONE | 0 | COMMON,LIFE_STONE | 1 | COMMON,LIFE_STONE | 2 | COMMON,LIFE_STONE_FRAGMENT | 0 | COMMON,LIGHT_OF_EGGENDIL | 0 | COMMON,LIGHT_OF_EGGENDIL | 1 | COMMON,LIGHT_OF_EGGENDIL | 1 | RARE,LIGHT_OF_EGGENDIL | 2 | COMMON,LIGHT_OF_EGGENDIL | 2 | RARE,LIGHT_OF_EGGENDIL | 3 | COMMON,LIGHT_OF_EGGENDIL | 3 | EPIC,LIGHT_OF_EGGENDIL | 3 | LEGENDARY,LUNAR_STONE | 0 | COMMON,LUNAR_STONE | 1 | COMMON,LUNAR_STONE | 2 | COMMON,LUNAR_STONE_FRAGMENT | 0 | COMMON,LUNAR_TOTEM | 0 | COMMON,LUNAR_TOTEM | 1 | COMMON,LUNAR_TOTEM | 1 | RARE,LUNAR_TOTEM | 2 | COMMON,LUNAR_TOTEM | 2 | RARE,LUNAR_TOTEM | 3 | COMMON,LUNAR_TOTEM | 3 | EPIC,LUNAR_TOTEM | 3 | LEGENDARY,LUNAR_TOTEM | 3 | RARE,MERCURYS_LENS | 0 | COMMON,MERCURYS_LENS | 1 | COMMON,MERCURYS_LENS | 1 | RARE,MERCURYS_LENS | 2 | COMMON,MERCURYS_LENS | 2 | RARE,MERCURYS_LENS | 3 | COMMON,MERCURYS_LENS | 3 | EPIC,MERCURYS_LENS | 3 | LEGENDARY,MERCURYS_LENS | 3 | RARE,NEODYMIUM_MEDALLION | 0 | COMMON,NEODYMIUM_MEDALLION | 1 | COMMON,NEODYMIUM_MEDALLION | 1 | RARE,NEODYMIUM_MEDALLION | 2 | COMMON,NEODYMIUM_MEDALLION | 2 | EPIC,NEODYMIUM_MEDALLION | 3 | COMMON,NEODYMIUM_MEDALLION | 3 | EPIC,NEODYMIUM_MEDALLION | 3 | LEGENDARY,NEODYMIUM_MEDALLION | 3 | RARE,ORNATE_GUSSET | 0 | COMMON,ORNATE_GUSSET | 1 | COMMON,ORNATE_GUSSET | 1 | EPIC,ORNATE_GUSSET | 2 | COMMON,ORNATE_GUSSET | 2 | RARE,ORNATE_GUSSET | 3 | COMMON,ORNATE_GUSSET | 3 | EPIC,ORNATE_GUSSET | 3 | LEGENDARY,PHOENIX_FEATHER | 0 | COMMON,PHOENIX_FEATHER | 1 | COMMON,PHOENIX_FEATHER | 2 | COMMON,PHOENIX_FEATHER | 2 | RARE,PHOENIX_FEATHER | 3 | COMMON,PHOENIX_FEATHER | 3 | LEGENDARY,PHOENIX_FEATHER | 3 | RARE,PROPHECY_STONE | 0 | COMMON,PROPHECY_STONE | 1 | COMMON,PROPHECY_STONE | 2 | COMMON,PROPHECY_STONE_FRAGMENT | 0 | COMMON,PUZZLE_CUBE | 0 | COMMON,PUZZLE_CUBE | 1 | COMMON,PUZZLE_CUBE | 1 | EPIC,PUZZLE_CUBE | 2 | COMMON,PUZZLE_CUBE | 2 | RARE,PUZZLE_CUBE | 3 | COMMON,PUZZLE_CUBE | 3 | EPIC,PUZZLE_CUBE | 3 | LEGENDARY,PUZZLE_CUBE | 3 | RARE,QUANTUM_METRONOME | 0 | COMMON,QUANTUM_METRONOME | 1 | COMMON,QUANTUM_METRONOME | 1 | RARE,QUANTUM_METRONOME | 2 | COMMON,QUANTUM_METRONOME | 2 | EPIC,QUANTUM_METRONOME | 2 | RARE,QUANTUM_METRONOME | 3 | COMMON,QUANTUM_METRONOME | 3 | EPIC,QUANTUM_METRONOME | 3 | LEGENDARY,QUANTUM_METRONOME | 3 | RARE,QUANTUM_STONE | 0 | COMMON,QUANTUM_STONE | 1 | COMMON,QUANTUM_STONE | 2 | COMMON,QUANTUM_STONE_FRAGMENT | 0 | COMMON,SHELL_STONE | 0 | COMMON,SHELL_STONE | 1 | COMMON,SHELL_STONE | 2 | COMMON,SHELL_STONE_FRAGMENT | 0 | COMMON,SHIP_IN_A_BOTTLE | 0 | COMMON,SHIP_IN_A_BOTTLE | 1 | COMMON,SHIP_IN_A_BOTTLE | 2 | COMMON,SHIP_IN_A_BOTTLE | 2 | RARE,SHIP_IN_A_BOTTLE | 3 | COMMON,SHIP_IN_A_BOTTLE | 3 | EPIC,SHIP_IN_A_BOTTLE | 3 | LEGENDARY,SHIP_IN_A_BOTTLE | 3 | RARE,SOLAR_TITANIUM | 0 | COMMON,SOLAR_TITANIUM | 1 | COMMON,SOLAR_TITANIUM | 2 | COMMON,SOUL_STONE | 0 | COMMON,SOUL_STONE | 1 | COMMON,SOUL_STONE | 2 | COMMON,SOUL_STONE_FRAGMENT | 0 | COMMON,TACHYON_DEFLECTOR | 0 | COMMON,TACHYON_DEFLECTOR | 1 | COMMON,TACHYON_DEFLECTOR | 2 | COMMON,TACHYON_DEFLECTOR | 2 | RARE,TACHYON_DEFLECTOR | 3 | COMMON,TACHYON_DEFLECTOR | 3 | EPIC,TACHYON_DEFLECTOR | 3 | LEGENDARY,TACHYON_DEFLECTOR | 3 | RARE,TACHYON_STONE | 0 | COMMON,TACHYON_STONE | 1 | COMMON,TACHYON_STONE | 2 | COMMON,TACHYON_STONE_FRAGMENT | 0 | COMMON,TAU_CETI_GEODE | 0 | COMMON,TAU_CETI_GEODE | 1 | COMMON,TAU_CETI_GEODE | 2 | COMMON,TERRA_STONE | 0 | COMMON,TERRA_STONE | 1 | COMMON,TERRA_STONE | 2 | COMMON,TERRA_STONE_FRAGMENT | 0 | COMMON,THE_CHALICE | 0 | COMMON,THE_CHALICE | 1 | COMMON,THE_CHALICE | 1 | EPIC,THE_CHALICE | 2 | COMMON,THE_CHALICE | 2 | EPIC,THE_CHALICE | 2 | RARE,THE_CHALICE | 3 | COMMON,THE_CHALICE | 3 | EPIC,THE_CHALICE | 3 | LEGENDARY,TITANIUM_ACTUATOR | 0 | COMMON,TITANIUM_ACTUATOR | 1 | COMMON,TITANIUM_ACTUATOR | 2 | COMMON,TITANIUM_ACTUATOR | 2 | RARE,TITANIUM_ACTUATOR | 3 | COMMON,TITANIUM_ACTUATOR | 3 | EPIC,TITANIUM_ACTUATOR | 3 | LEGENDARY,TUNGSTEN_ANKH | 0 | COMMON,TUNGSTEN_ANKH | 1 | COMMON,TUNGSTEN_ANKH | 1 | RARE,TUNGSTEN_ANKH | 2 | COMMON,TUNGSTEN_ANKH | 2 | LEGENDARY,TUNGSTEN_ANKH | 2 | RARE,TUNGSTEN_ANKH | 3 | COMMON,TUNGSTEN_ANKH | 3 | LEGENDARY,TUNGSTEN_ANKH | 3 | RARE,VIAL_MARTIAN_DUST | 0 | COMMON,VIAL_MARTIAN_DUST | 1 | COMMON,VIAL_MARTIAN_DUST | 1 | RARE,VIAL_MARTIAN_DUST | 2 | COMMON,VIAL_MARTIAN_DUST | 2 | EPIC,VIAL_MARTIAN_DUST | 3 | COMMON,VIAL_MARTIAN_DUST | 3 | LEGENDARY,VIAL_MARTIAN_DUST | 3 | RARE
HENERPRISE,EPIC,7,GOLD_METEORITE,0,0,4919,138,789,3233,53,11,157,0,2555,6338,872,1859,8,73,12678,1453,101,2,0,0,0,0,3874,4817,315,5,1,2082,185,0,8188,0,0,0,3173,86,284,4714,86,18,244,5007,6269,2126,1,0,0,2448,1144,0,0,38793,153007,19768,0,3621,4996,880,339,8,1,19,1597,1642,1,0,8272,2663,315,298,44,0,0,0,0,2079,224,0,0,0,0,2965,284,4685,65,2,311,0,2950,492,5993,1000,123,1,1,8,0,1686,246,5516,90,3276,45,18,195,0,2279,51,6175,999,326,4,1,3453,5547,3791,583,23,0,1,1373,80,0,9285,0,0,0,5187,849,1368,25,7,57,4514,5960,649,2608,92,439,18,0,0,0,1139,2773,64,0,0,2304,208,0,7897,5401,1038,153,0,0,0,0,0,14845,2468,847,1116,75,0,9256,2408,211,30,0,0,0,0,0,2304,51,0,0,20443,481,858,2868,6,0,1842,3546,106,6038,155,1014,610,15,5,5195,6363,1730,273,70,0,0,0,1781,137,6410,15,1017,1121,3,64,0,1366,221,6222,162,574,0,25
HENERPRISE,EPIC,7,TUNGSTEN_ANKH,0,0,801,21,124,559,6,0,30,0,421,1045,145,327,0,16,2115,265,18,0,0,0,0,0,657,810,57,2,0,351,41,0,1306,0,0,0,550,15,49,810,10,6,33,870,1057,341,0,0,0,392,191,0,0,0,4135,680,0,648,850,139,68,2,0,5,268,315,1,0,1533,487,58,53,11,0,0,0,0,367,48,0,0,0,0,486,53,596,4,1,37,0,482,91,1030,168,18,0,0,1,0,290,44,889,17,526,8,1,32,0,392,10,998,174,61,0,0,523,850,651,102,6,0,1,249,13,0,1424,0,0,0,825,139,263,7,0,14,727,920,120,448,23,70,3,0,0,0,172,484,14,0,0,380,43,0,1318,835,184,35,0,0,0,0,0,2478,477,121,187,11,0,1427,408,44,9,0,0,0,0,0,386,11,0,0,3308,125,141,463,1,0,320,526,12,1034,22,160,103,3,1,854,1041,302,42,16,0,0,1646,3240,299,5089,15,848,1059,3,57,0,247,37,1093,27,113,0,4
HENERPRISE,EPIC,7,BOOK_OF_BASAN,0,0,9659,237,1498,6595,99,21,333,0,5210,12771,1875,3763,16,197,87053,14959,1053,36,0,0,0,0,7888,9997,647,9,2,4157,423,0,16327,0,0,0,6260,177,573,9705,190,48,516,9933,12687,4224,10,0,0,4847,2284,0,0,0,49676,8102,0,7363,10247,1610,762,12,0,39,3096,3249,0,0,18509,5433,589,656,110,0,0,0,0,4222,472,0,0,0,0,6039,599,8601,109,6,561,0,5866,999,12377,1868,280,3,0,14,0,3448,454,10860,198,6454,81,19,360,0,4436,104,12483,1973,698,19,3,6999,11053,7683,1308,70,0,4,2825,160,0,18066,0,0,0,10172,1610,2787,39,10,130,8879,11843,1386,5580,163,877,63,2,0,4,2326,5691,164,0,0,4538,394,0,15692,10802,2130,338,2,0,0,0,0,29448,5418,1642,2101,145,0,18006,4778,449,59,0,0,0,0,0,4541,112,0,0,40245,1140,1712,5591,14,0,3602,6923,227,12096,285,1976,1248,22,7,10150,12469,3582,578,157,0,1,0,3446,260,12588,41,1963,2355,5,114,0,2780,461,12593,341,1262,6,74
HENERPRISE,EPIC,7,PROPHECY_STONE,0,0,11648,307,1847,7764,115,21,387,0,6242,15096,2203,4457,15,211,30447,3497,226,2,0,0,0,0,9440,11751,752,13,3,5028,506,0,19847,0,0,0,7531,209,693,11453,194,38,619,12141,15121,4978,7,0,0,5847,2726,0,0,0,60222,9450,0,8896,12461,1976,852,10,4,45,3753,3895,2,0,20986,6391,758,757,122,0,0,0,0,4990,594,0,0,0,0,6876,650,11299,136,3,698,0,7267,1096,14416,2282,290,3,1,19,0,4210,582,13372,243,7700,126,35,427,0,5401,121,15075,2432,867,11,3,8235,13252,9139,1451,68,0,4,16919,964,0,22046,0,0,0,12341,1959,3327,50,14,149,10664,14137,1654,6485,183,1011,73,2,0,4,2841,6717,188,0,0,5570,511,0,18743,12884,2549,426,10,0,0,1,0,36236,6323,2046,2699,168,0,21645,5714,513,81,0,0,0,0,0,5596,136,0,0,48819,1282,2074,6857,8,0,4437,8574,245,14728,380,2362,1411,25,6,12613,14972,4239,684,158,8,0,0,4159,301,15151,54,2426,2652,10,125,0,3307,549,15274,407,1526,7,81
HENERPRISE,EPIC,7,UNKNOWN,0,0,45395,1140,7387,38501,611,163,2165,0,24601,62693,9466,24400,68,1133,124610,18254,2096,53,0,0,0,0,36234,55429,5867,96,19,21348,3120,0,76646,0,0,0,29706,764,2827,54194,1047,242,2866,46889,63196,26556,370,4,4,22866,14725,0,0,0,228754,57400,0,34191,57627,9412,5736,85,21,288,14668,19511,138,0,124916,33316,3907,6068,922,1,0,0,0,22198,3590,0,0,0,0,34126,3240,36586,428,47,2456,0,28172,4562,62936,10457,2646,25,9,134,0,16875,2332,50519,967,38365,556,153,2106,0,21552,569,62779,10252,6495,136,28,33171,50565,45371,7537,1271,7,69,16092,1345,0,85098,0,0,0,47252,7772,18640,324,72,871,42470,54378,6516,33142,1005,5340,1075,18,5,82,11152,26288,1701,0,0,21653,3382,0,72123,59817,15578,2478,238,2,2,1,0,136945,42269,8253,12950,1383,0,82802,27645,4068,662,0,0,0,0,0,21786,1456,0,0,203743,13044,8410,28187,319,0,18590,33107,1038,63068,1662,10328,10035,200,40,49032,62495,23359,3742,2137,42,11,0,16728,1288,62763,262,10351,16260,58,887,0,13837,2243,62914,1661,10072,54,536
HENERPRISE,EPIC,7,AURELIAN_BROOCH,313,466,969,27,131,559,9,5,29,0,77,219,32,70,0,4,375,65,4,0,0,0,0,0,107,166,21,0,0,74,7,0,259,0,0,0,96,4,4,163,3,0,6,131,223,77,0,0,0,76,52,0,0,0,804,163,0,123,180,36,18,0,0,0,56,45,0,0,415,96,13,9,1,0,0,0,0,67,11,0,0,0,0,143,14,58,0,1,2,0,92,15,218,41,6,0,0,0,0,52,6,188,2,114,2,0,8,0,74,2,191,27,15,1,0,96,144,125,26,1,0,0,46,2,0,307,0,0,0,171,24,48,0,0,5,162,165,20,97,1,17,0,0,0,0,38,99,2,0,0,60,6,0,259,190,37,5,0,0,0,0,0,458,118,32,46,2,0,271,67,4,3,0,0,0,0,0,84,3,0,0,650,20,30,96,2,0,56,119,2,176,3,35,31,2,0,164,196,76,9,2,0,0,0,59,7,197,2,37,47,0,2,0,43,5,223,2,36,0,0
HENERPRISE,EPIC,7,SHIP_IN_A_BOTTLE,0,0,1521,43,267,975,15,8,48,0,731,2044,297,568,4,30,3697,443,23,0,0,0,0,0,1173,1441,99,2,0,676,71,0,2567,0,0,0,1033,22,89,1503,37,2,82,1530,1901,641,0,0,0,719,356,0,0,0,7676,1291,0,1108,1550,247,126,2,0,3,469,550,1,0,2858,817,122,100,9,0,0,0,0,694,73,0,0,0,0,954,77,1362,7,0,91,0,907,136,1871,290,37,0,0,0,0,556,82,1682,34,1061,13,5,54,0,689,16,1874,296,126,1,0,1106,1655,1141,182,4,0,0,450,32,0,2902,0,0,0,1564,251,423,6,1,25,1383,1849,209,903,28,138,5,0,0,0,349,901,19,0,0,712,71,0,3712,8171,1690,266,6,0,1,0,0,4640,851,264,353,16,0,2756,726,71,17,0,0,0,0,0,716,13,0,0,6084,167,276,852,1,0,555,1055,35,1823,42,281,175,5,0,1623,1955,545,71,27,2,0,0,527,33,1944,4,334,314,2,19,0,416,59,2010,57,210,0,9
